hr_code,full_name,structure_name,position,status,manager_id,tenure,termination_date,employee_cost
E000136,Katherine Johnson,Engineering,Staff Engineer,Terminated,HR000046,0,2024-05-12,127546.42
EMP000137,Helen Brown,Research & Development,ML Engineer,Terminated,E000022,5,2025-04-17,102505.99
E000138,Thomas Miller,Marketing,CMO,Active,,6,,383720.28
E000139,Frank Collins,Sales,Sales Manager,Active,CV000089,10,,149221.76
EMP000140,Thomas Nguyen,Finance & Accounting,Accountant,Active,HR000063,0,,60060.7
HR000141,Larry Walker,Finance & Accounting,Financial Analyst,Active,HR000081,1,,74736.64
E000142,Frank Jones,Engineering,Staff Engineer,Active,CV000031,0,,104726.1
CV000143,Justin Carter,Human Resources,HR Business Partner,Terminated,E000043,9,2024-11-25,78425.29
HR000144,Helen Allen,IT Operations,IT Specialist,Active,E000107,1,,71981.57
E000145,Susan Mitchell,Engineering,Senior Software Engineer,Active,HR000058,0,,107004.05
CV000146,Margaret Martinez,Research & Development,Principal Scientist,Active,HR000011,2,,119195.28
EMP000147,Andrew Gonzalez,Research & Development,Data Scientist,Active,HR000011,4,,90044.99
EMP000148,Larry Moore,IT Operations,System Administrator,Active,CV000067,3,,68804.76
CV000149,Patrick Evans,Product Management,Product Analyst,Terminated,HR000063,1,2023-12-16,78500.45
CV000150,Rachel Thomas,Customer Support,Customer Success Manager,Active,HR000042,5,,162417.33
EMP000151,Patricia Lopez,Product Management,Product Manager,Terminated,HR000041,0,2025-08-12,130681.37
E000152,Larry Baker,Product Management,Senior Product Manager,Active,HR000038,3,,145764.64
CV000153,Amy Mitchell,Marketing,Marketing Analyst,Active,EMP000077,1,,78401.67
HR000154,Paul Baker,Human Resources,CHRO,Active,,5,,461558.74
CV000155,Amy Johnson,IT Operations,Security Analyst,Terminated,CV000031,6,2025-02-25,96462.08
E000156,Steven Murphy,Marketing,Digital Marketing Manager,Active,HR000001,2,,204245.24
E000157,Jason Turner,Finance & Accounting,Bookkeeper,Active,HR000081,17,,103207.75
E000158,Joshua Young,Product Management,Product Manager,Terminated,HR000063,8,2024-07-20,145116.19
E000159,Jason Thompson,Sales,Sales Representative,Active,E000109,1,,52865.75
CV000160,Patrick Gonzalez,Research & Development,Principal Scientist,Active,HR000038,12,,121425.4
E000161,Stephanie Morris,Engineering,Tech Lead,Active,HR000046,12,,174460.07
CV000162,Edward Scott,IT Operations,DevOps Engineer,Active,HR000023,1,,94908.23
CV000163,Thomas King,Finance & Accounting,CFO,Active,,1,,531519.39
E000164,Patricia Murphy,Human Resources,HR Specialist,Active,E000047,15,,122803.25
EMP000165,Brandon Wright,Executive Management,General Manager,Terminated,HR000102,0,2025-10-08,138815.51
EMP000166,Paul Parker,Engineering,Tech Lead,Active,EMP000018,4,,182156.56
EMP000167,Eric Martinez,Human Resources,CHRO,Active,,17,,603900.78
EMP000168,Helen Hall,IT Operations,System Administrator,Terminated,HR000023,0,2024-08-04,62597.98
EMP000169,Stephanie Brown,Engineering,Tech Lead,Active,E000092,2,,194349.75
E000170,Karen Green,Sales,Account Executive,Terminated,E000139,0,2024-07-29,49813.64
CV000171,Christine Miller,Executive Management,Chief of Staff,Active,CV000074,2,,116462.66
E000172,Larry Harris,Sales,Sales Analyst,Active,E000059,1,,94586.85
EMP000173,Ryan Stewart,Finance & Accounting,Financial Analyst,Active,E000034,0,,80019.15
E000174,Samuel Martinez,Marketing,CMO,Active,,6,,541867.08
E000175,Stephanie Jones,Finance & Accounting,Controller,Terminated,E000088,16,2025-01-05,91994.43
HR000176,Elizabeth Williams,Sales,Business Development Rep,Terminated,EMP000077,0,2025-04-09,47124.41
EMP000177,Daniel Campbell,Research & Development,Research Engineer,Active,HR000011,12,,92000.75
E000178,Kenneth Miller,Finance & Accounting,Controller,Active,E000088,0,,56129.36
E000179,Matthew Mitchell,Customer Support,Support Team Lead,Active,HR000042,8,,168399.46
CV000180,Pamela Wright,Engineering,Tech Lead,Terminated,HR000058,1,2025-05-04,196729.15
CV000181,Amanda Flores,Human Resources,Recruiter,Terminated,CV000097,8,2025-08-04,76531.46
EMP000182,Michael Hill,Human Resources,HR Manager,Active,HR000058,0,,150292.75
E000183,Andrew Jones,Human Resources,HR Business Partner,Active,HR000025,1,,59760.47
EMP000184,Robert Perez,Research & Development,ML Engineer,Active,E000044,1,,70057.82
CV000185,Gary Jones,Executive Management,Executive Assistant,Active,E000179,6,,63894.13
HR000186,Paul Campbell,Sales,Sales Representative,Active,CV000089,0,,58006.74
CV000187,Michael Johnson,IT Operations,Security Analyst,Active,CV000067,4,,94542.96
EMP000188,Brenda Rodriguez,Engineering,Staff Engineer,Active,HR000046,0,,135659.81
EMP000189,Mark Garcia,Executive Management,Director,Active,,1,,575078.79
HR000190,Michael Jones,Sales,Account Executive,Active,EMP000071,2,,55412.9
CV000191,Kathleen Nelson,Engineering,Engineering Manager,Active,EMP000166,0,,168055.23
EMP000192,Melissa Roberts,Human Resources,HR Manager,Active,EMP000182,10,,212392.61
EMP000193,Rebecca Rivera,Executive Management,Chief of Staff,Terminated,CV000074,1,2025-07-10,103078.03
EMP000194,Frank Lewis,Finance & Accounting,Accountant,Active,HR000081,0,,50405.97
E000195,Paul Edwards,Executive Management,Chief of Staff,Active,HR000102,3,,121986.48
HR000196,Jonathan Carter,Marketing,Marketing Specialist,Active,CV000089,12,,111194.02
E000197,Kevin Campbell,Executive Management,Chief of Staff,Active,E000034,10,,167437.75
E000198,Sharon Torres,Executive Management,Executive Assistant,Terminated,EMP000077,1,2025-11-17,57767.26
EMP000199,Barbara Thomas,Human Resources,HR Manager,Active,CV000108,2,,177666.71
CV000200,Pamela Nelson,Marketing,Digital Marketing Manager,Active,HR000001,9,,152697.22
E000201,Edward Brown,Executive Management,Director,Active,,1,,431227.29
CV000202,Amy Rodriguez,IT Operations,IT Manager,Terminated,E000107,0,2024-01-02,175918.47
EMP000203,Jennifer Scott,IT Operations,System Administrator,Active,CV000067,15,,116764.78
E000204,Nicholas Lewis,Engineering,QA Engineer,Terminated,E000156,0,2024-09-22,82110.98
HR000205,John Lee,Executive Management,General Manager,Active,E000109,2,,180271.03
CV000206,Richard Hill,IT Operations,DevOps Engineer,Active,CV000067,3,,89430.71
CV000207,Raymond Campbell,Customer Support,Support Team Lead,Active,EMP000071,7,,216451.52
HR000208,Eric Phillips,Sales,Sales Analyst,Active,E000139,3,,85877.21
EMP000209,Ashley Phillips,Marketing,Content Manager,Terminated,CV000200,3,2024-05-08,147068.31
HR000210,Katherine Walker,Executive Management,Vice President,Active,,2,,340076.74
CV000211,Jerry Murphy,Research & Development,R&D Director,Active,,4,,422174.86
CV000212,Larry Young,IT Operations,Network Engineer,Active,E000107,10,,83933.91
CV000213,Thomas Collins,Sales,Regional Sales Director,Active,,0,,368253.68
EMP000214,Sarah Sanchez,Human Resources,Recruiter,Active,E000034,6,,73376.88
EMP000215,Jack Murphy,Marketing,Brand Manager,Active,CV000095,12,,214988.79
EMP000216,James Nguyen,Executive Management,General Manager,Active,HR000205,5,,164465.85
HR000217,Joshua Young,Marketing,Marketing Specialist,Active,E000161,4,,95573.26
E000218,Jack Stewart,IT Operations,IT Specialist,Terminated,CV000067,3,2025-02-11,91415.15
HR000219,Laura Anderson,Customer Support,Customer Success Manager,Terminated,CV000150,14,2024-06-30,200695.93
CV000220,Scott Morris,Sales,Sales Analyst,Active,EMP000135,3,,85321.77
EMP000221,Shirley Rodriguez,Finance & Accounting,Financial Analyst,Terminated,E000088,12,2025-02-20,127765.53
EMP000222,Barbara Mitchell,IT Operations,IT Manager,Active,E000107,0,,153473.6
CV000223,Jennifer Ramirez,Engineering,Engineering Manager,Active,EMP000018,7,,203845.55
EMP000224,Gregory Gonzalez,Product Management,Product Analyst,Active,HR000029,0,,87006.82
E000225,James Ramirez,Engineering,Staff Engineer,Active,E000161,4,,110683.55
CV000226,Shirley Nelson,Customer Support,Customer Success Manager,Active,CV000207,9,,206009.01
CV000227,Susan Anderson,Engineering,Tech Lead,Active,HR000046,2,,152106.43
CV000228,Jerry Stewart,Finance & Accounting,Controller,Active,EMP000035,4,,57077.03
E000229,Stephen Roberts,Marketing,Digital Marketing Manager,Active,CV000053,5,,198244.43
HR000230,Joshua Lewis,Research & Development,Data Scientist,Active,CV000211,4,,78518.31
HR000231,Patrick Johnson,Research & Development,Research Scientist,Active,HR000023,7,,90747.05
EMP000232,Jonathan Sanchez,IT Operations,DevOps Engineer,Active,CV000067,8,,101515.52
CV000233,Dennis King,Engineering,QA Engineer,Terminated,HR000058,2,2025-07-29,74647.96
HR000234,Sarah Evans,Product Management,Product Manager,Terminated,E000010,0,2024-05-27,179244.25
CV000235,Jack Nguyen,Research & Development,Data Scientist,Terminated,HR000011,8,2024-01-31,114292.0
CV000236,Donna Ramirez,Engineering,Senior Software Engineer,Active,HR000205,17,,161324.6
EMP000237,Gary Campbell,Research & Development,ML Engineer,Active,HR000011,7,,99072.21
CV000238,Carol Martinez,Engineering,Software Engineer,Active,CV000031,4,,100924.25
HR000239,Michael Roberts,Finance & Accounting,Financial Analyst,Terminated,HR000111,2,2023-12-27,95991.75
EMP000240,Anna Young,Marketing,CMO,Active,,1,,473171.83
CV000241,Jason Hall,Engineering,Staff Engineer,Terminated,HR000058,0,2024-09-24,118397.26
E000242,Benjamin Phillips,Human Resources,Talent Acquisition Lead,Active,E000043,0,,159270.31
CV000243,Shirley Lee,Executive Management,General Manager,Active,HR000205,4,,157641.34
CV000244,Margaret Cook,Marketing,CMO,Active,,6,,403063.57
EMP000245,Kenneth Clark,Customer Support,Technical Support Agent,Active,E000059,3,,55571.91
CV000246,Nicole Hernandez,Engineering,Tech Lead,Active,HR000058,5,,170480.45
EMP000247,Melissa Flores,Research & Development,ML Engineer,Active,HR000011,4,,82210.44
CV000248,Eric Nguyen,Research & Development,ML Engineer,Active,CV000227,4,,95970.46
CV000249,Charles Smith,IT Operations,Network Engineer,Terminated,HR000023,0,2024-06-27,69394.75
E000250,Christine Walker,Marketing,Digital Marketing Manager,Active,EMP000215,3,,174413.94
CV000251,Shirley Lee,Human Resources,HR Specialist,Active,CV000095,10,,125504.63
CV000252,Debra Davis,Human Resources,Talent Acquisition Lead,Active,E000250,5,,199909.81
EMP000253,Brandon Scott,IT Operations,IT Specialist,Active,E000107,2,,101595.92
E000254,Kimberly Allen,Sales,Sales Analyst,Active,CV000213,1,,87044.66
EMP000255,Larry Evans,Sales,Business Development Rep,Active,EMP000135,13,,103072.82
CV000256,George Johnson,Executive Management,CEO,Active,,0,,567728.31
E000257,Michael Lewis,Sales,Sales Manager,Active,E000139,0,,198838.24
HR000258,Justin Campbell,Marketing,Marketing Analyst,Terminated,E000010,0,2024-07-07,77491.36
E000259,Barbara Lopez,Finance & Accounting,Accountant,Terminated,HR000111,1,2024-05-07,57006.68
HR000260,Kevin Robinson,Executive Management,CEO,Active,,0,,372040.49
HR000261,Daniel Lee,Executive Management,CEO,Active,,16,,595719.29
E000262,Debra Adams,IT Operations,IT Manager,Active,HR000048,7,,146091.76
CV000263,Sandra Parker,IT Operations,DevOps Engineer,Active,E000107,10,,92390.21
E000264,Robert Parker,Executive Management,Chief of Staff,Terminated,HR000205,0,2023-12-17,139719.0
CV000265,Nicholas Roberts,IT Operations,DevOps Engineer,Active,CV000067,1,,94679.27
EMP000266,Kenneth Hall,Engineering,Engineering Manager,Active,EMP000166,2,,147716.63
HR000267,Brian Martin,Customer Support,Support Team Lead,Active,CV000226,3,,169742.88
EMP000268,Janet White,Executive Management,General Manager,Active,CV000074,3,,139715.95
HR000269,Sharon Roberts,Product Management,Associate Product Manager,Terminated,CV000223,2,2024-04-30,168968.53
HR000270,Raymond Perez,Sales,Sales Representative,Active,EMP000071,1,,64061.44
CV000271,Daniel Martin,Product Management,Product Manager,Active,E000044,1,,163773.95
HR000272,Brian Miller,Finance & Accounting,Bookkeeper,Active,CV000163,5,,77744.46
EMP000273,Timothy Rodriguez,Marketing,Content Manager,Active,E000229,2,,154132.07
HR000274,Scott Lopez,IT Operations,DevOps Engineer,Active,EMP000222,2,,70053.57
EMP000275,Gary Gonzalez,Sales,Account Executive,Active,EMP000071,1,,54367.03
CV000276,Rebecca Lopez,Customer Support,Support Team Lead,Active,HR000267,5,,178386.91
E000277,Charles Lee,Customer Support,Escalation Specialist,Active,HR000267,3,,73965.45
CV000278,Scott Phillips,Finance & Accounting,Bookkeeper,Terminated,HR000081,2,2025-06-02,56595.46
CV000279,Debra Garcia,Customer Support,Support Specialist,Active,CV000276,2,,89441.3
EMP000280,Jennifer Davis,Finance & Accounting,Controller,Active,HR000081,2,,65284.42
HR000281,Nancy Jackson,Marketing,Brand Manager,Active,CV000200,0,,174518.79
CV000282,Jonathan Miller,Customer Support,Technical Support Agent,Active,E000257,5,,62304.93
E000283,William Lee,Marketing,Marketing Specialist,Active,E000138,0,,84134.43
E000284,Stephanie Johnson,Customer Support,Customer Success Manager,Active,EMP000035,6,,153462.05
EMP000285,Helen Allen,Human Resources,Recruiter,Active,HR000154,5,,64455.03
E000286,Nancy Baker,Product Management,Product Owner,Terminated,HR000038,0,2024-03-29,60641.01
CV000287,Mark Anderson,Sales,Business Development Rep,Active,EMP000169,1,,52384.07
HR000288,Brenda Smith,Marketing,Digital Marketing Manager,Active,CV000191,1,,143769.76
E000289,Kimberly Sanchez,Sales,Business Development Rep,Active,CV000089,9,,88546.71
CV000290,Maria Lee,Finance & Accounting,CFO,Active,,3,,501669.63
HR000291,Maria Johnson,Product Management,Associate Product Manager,Active,HR000041,6,,177146.07
HR000292,Joseph Torres,Product Management,Senior Product Manager,Active,HR000210,10,,229244.28
CV000293,Nicole Moore,Marketing,Digital Marketing Manager,Active,E000174,4,,189392.95
HR000294,Maria Robinson,Product Management,Product Analyst,Active,E000152,0,,77001.63
CV000295,Timothy Nguyen,Research & Development,Research Engineer,Active,CV000211,2,,89111.95
CV000296,Kenneth Flores,IT Operations,Network Engineer,Active,E000262,4,,77504.3
EMP000297,Charles Robinson,Marketing,CMO,Active,,10,,602789.44
EMP000298,Larry Robinson,Finance & Accounting,Senior Accountant,Active,CV000290,5,,117821.3
CV000299,Lisa Thomas,Finance & Accounting,CFO,Active,,16,,382300.91
EMP000300,Edward Taylor,Human Resources,HR Specialist,Active,EMP000166,6,,110959.99
EMP000301,Stephanie Parker,Sales,Sales Manager,Active,E000257,2,,180758.33
CV000302,George Clark,Marketing,Content Manager,Active,CV000293,12,,181799.22
EMP000303,Maria Thomas,Product Management,Product Owner,Terminated,HR000063,1,2025-02-10,63136.82
CV000304,George Torres,Marketing,CMO,Active,,1,,392965.2
E000305,Debra Jackson,Customer Support,Technical Support Agent,Terminated,HR000042,0,2025-11-20,52684.53
E000306,Janet Allen,Human Resources,Talent Acquisition Lead,Active,EMP000192,3,,207968.26
E000307,Deborah Collins,Finance & Accounting,CFO,Active,,0,,393846.84
EMP000308,Joshua Wilson,IT Operations,Network Engineer,Active,E000107,1,,91734.26
EMP000309,Jack Gonzalez,Marketing,CMO,Active,,0,,588007.07
CV000310,Jeffrey Torres,Human Resources,Recruiter,Terminated,CV000304,1,2023-12-27,51748.23
CV000311,Robert Hill,Product Management,Associate Product Manager,Active,HR000041,1,,184319.83
HR000312,Susan Wright,Sales,Sales Manager,Terminated,EMP000301,7,2024-05-26,175003.7
EMP000313,Michelle Torres,Sales,Sales Analyst,Active,EMP000135,2,,93219.4
HR000314,Maria Clark,Executive Management,General Manager,Active,HR000205,3,,171069.7
CV000315,Emily Baker,Human Resources,HR Business Partner,Active,EMP000189,1,,66924.67
HR000316,Daniel Jones,Research & Development,R&D Director,Active,,1,,464150.17
E000317,Jerry Miller,IT Operations,Network Engineer,Active,E000107,1,,90103.38
CV000318,Matthew Roberts,Research & Development,Data Scientist,Active,E000179,9,,94196.2
CV000319,Sandra Cook,Product Management,Product Analyst,Active,E000152,13,,117319.15
HR000320,Mary Carter,Research & Development,Research Scientist,Active,HR000281,17,,126683.93
CV000321,Raymond Rivera,Product Management,Product Owner,Active,HR000292,8,,65928.83
CV000322,Susan Jones,IT Operations,Network Engineer,Active,HR000023,1,,89097.28
EMP000323,Ashley Moore,Executive Management,Executive Assistant,Active,EMP000216,2,,61198.33
E000324,Heather Campbell,Research & Development,Data Scientist,Active,CV000074,10,,109018.81
